227;"Французская Полинезия";PF
228;"Французские Южные территории";TF
229;Хорватия;HR
230;"Центрально-Африканская Республика";CF
231;Чад;TD
232;Черногория;ME
233;Чехия;CZ
234;Чили;CL
235;Швейцария;CH
236;Швеция;SE
237;"Шпицберген и Ян-Майен";SJ
238;Шри-Ланка;LK
239;Эквадор;EC
240;"Экваториальная Гвинея";GQ
241;Эритрея;ER
242;Эсватини;SZ
243;Эстония;EE
244;Эфиопия;ET
245;"Южная Георгия и Южные Сандвичевы о-ва";GS
246;"Южно-Африканская Республика";ZA
247;"Южный Судан";SS
248;Ямайка;JM
249;Япония;JP
